Nama Sungai,Koordinat,Periode,TSS,DO,BOD,COD,Fosfat,Fecal Coli,Total-Coliform,(Ci/Lij)M2,Pij,Status Mutu Air,Year,WaterQualityStatus,WaterQualityStatus_encoded
Cimahi Hilir," E 107° 32' 304"" S 06° 55' 203"" ",2019-04-05,20.0,6.19,6.0,27.0,0.33,1100000,1100000.0,1210000.0,785.7772670327311,berat,2019,berat,2.0
Cisangkan Hulu,E 107´32.181´ S 06´52.223´,2019-04-01,23.0,4.25,2.0,7.0,0.78,460000,460000.0,211600.0,328.5971676309389,berat,2019,berat,2.0
Cibabat Hilir,"E 107° 33' 008""  S 06° 55' 502"" ",2019-04-05,32.0,2.27,46.0,122.0,1.08,1100000,1100000.0,1210000.0,785.9618145601839,berat,2019,berat,2.0
Cibaligo Hulu,E 107´33.329´ S 06´53.876´,2019-04-04,82.0,4.87,19.0,39.0,0.51,1100000,1100000.0,1210000.0,785.8833894077842,berat,2019,berat,2.0
Cibaligo Tengah,E 107´33.108' S 06´54.523´,2019-04-04,20.0,2.67,57.0,104.0,0.39,1100000,1100000.0,1210000.0,785.89833503471,berat,2019,berat,2.0
Cibaligo Hilir,"E 107° 32' 630"" S 06° 55' 270"" ",2019-04-02,35.0,1.0,129.0,228.0,3.65,1100000,1100000.0,1210000.0,786.2065100317496,berat,2019,berat,2.0
Cibeureum Hulu,"E 107° 34' 130"" S 06° 54' 622""",2019-04-01,15.0,5.74,7.0,26.0,0.48,460000,460000.0,211600.0,328.64057649558254,berat,2019,berat,2.0
Cisangkan Hilir,"E 107° 32' 006""  S 6° 55' 092"" ",2019-04-02,20.0,1.73,19.0,42.0,0.94,93000,240000.0,8649.0,66.59933421144973,berat,2019,berat,2.0
Cibabat Hulu,E 107´33.694´ S 06´53.373´,2019-04-04,26.0,5.38,6.0,29.0,0.48,1100000,1100000.0,1210000.0,785.7994026454891,berat,2019,berat,2.0
Cibabat Tengah,E 107´32.892´ S 06´54.016´,2019-04-04,21.0,2.1,24.0,60.0,0.93,1100000,1100000.0,1210000.0,785.895167000782,berat,2019,berat,2.0
Cimahi Tengah,"E 107° 32' 466"" S 06´53.606´ ",2019-11-05,35.0,5.0,9.0,31.0,0.19,816000,4570000.0,665856.0,582.9459701819056,berat,2019,berat,2.0
Cimahi Hulu, E 107´33.618´ S 06´51.309´,2019-11-07,36.0,7.69,5.0,15.0,0.16,74000,630000.0,5476.0,52.942756671100106,berat,2019,berat,2.0
Cibeureum Hilir,E 107´32.714´ S 06´55.918´,2019-07-08,182.0,2.97,51.0,178.0,0.41,840000,24196000.0,705600.0,600.2686833544825,berat,2019,berat,2.0
Cibeureum Tengah,E 107´33.923´ S 06´55.164´,2019-07-08,70.0,3.74,22.0,83.0,0.16,2282000,7701000.0,5207524.0,1630.1680581218914,berat,2019,berat,2.0
Cibeureum Hulu,"E 107° 34' 130"" S 06° 54' 622""",2019-07-09,156.0,5.35,29.0,41.0,0.16,1860000,11870000.0,3459600.0,1328.749277645463,berat,2019,berat,2.0
Cibaligo Hilir,"E 107° 32' 630"" S 06° 55' 270"" ",2019-07-08,79.0,1.0,64.0,280.0,0.77,43600000,72700000.0,1900960000.0,31143.14627529467,berat,2019,berat,2.0
Cibaligo Tengah,E 107´33.108' S 06´54.523´,2019-07-15,44.0,2.84,29.0,100.0,0.21,10462000,12997000.0,109453444.0,7473.029465296846,berat,2019,berat,2.0
Cibaligo Hulu,E 107´33.329´ S 06´53.876´,2019-07-16,71.0,2.63,31.0,67.0,0.25,6488000,21430000.0,42094144.0,4634.4657064354205,berat,2019,berat,2.0
Cibabat Hilir,"E 107° 33' 008""  S 06° 55' 502"" ",2019-07-16,74.0,1.22,78.0,138.0,0.16,15531000,77010000.0,241211961.0,11093.798936155985,berat,2019,berat,2.0
Cibabat Tengah,E 107´32.892´ S 06´54.016´,2019-07-12,346.0,1.16,83.0,112.0,0.26,7890000,20980000.0,62252100.0,5635.992526749354,berat,2019,berat,2.0
