No.,Nama Sungai,Lokasi/ Koordinat,Periode/ Tanggal,TSS,DO,BOD,COD,Fosfat,Fecal Coli,Total-Coliform,TSS.1,DO.1,BOD.1,COD.1,Fosfat.1,Fecal Coli.1,Total-Coliform.1,TSS.2,DO.2,BOD.2,COD.2,Fosfat.2,Fecal Coli.2,Total-Coliform.2,TSS.3,DO.3,BOD.3,COD.3,Fosfat.3,Fecal Coli.3,Total-Coliform.3,(Ci/Lij)R,(Ci/Lij)M,(Ci/Lij)R2,(Ci/Lij)M2,Pij,Status Mutu Air
15,Cibeureum Hilir,E 107´34.130´ S 06´54.622´,2019-04-02,38.0,3.3,24.0,50.0,0.82,460000,460000.0,50,4,3,25,0.2,1000,5000,0.76,0.30833333333333335,8.0,2.0,4.1,460.0,,0.40406796140395673,0.30833333333333335,5.515449934959718,2.5051499783199063,4.1,460.0,0.0,67.54757160114528,460.0,4562.674429211848,211600.0,328.7572618431507,berat
16,Cimahi Hulu, E 107´33.618´ S 06´51.309´,2019-07-10,76.0,7.36,5.0,16.0,0.16,310,341000.0,50,4,3,25,0.2,1000,5000,1.52,-0.030000000000000027,1.6666666666666667,0.64,0.7999999999999999,0.31,,1.9092179397238627,2.3240891150476823,1.6666666666666667,0.64,0.7999999999999999,0.31,0.0,1.0928533887768874,2.3240891150476823,1.1943285293611265,5.401390214683119,1.8160009284199508,ringan
17,Cimahi Tengah,"E 107° 32' 466"" S 06´53.606´ ",2019-07-10,317.0,1.34,25.0,129.0,0.2,1480000,7120000.0,50,4,3,25,0.2,1000,5000,6.34,0.4716666666666667,8.333333333333334,5.16,1.0,1480.0,,5.010446289408663,0.4716666666666667,5.604093769761876,4.563248508136057,1.0,1480.0,0.0,213.80706503342475,1480.0,45713.46105820712,2190400.0,1057.3820173093088,berat
18,Cimahi Hilir," E 107° 32' 304"" S 06° 55' 203"" ",2019-07-09,40.0,1.0,30.0,105.0,0.38,9880000,21430000.0,50,4,3,25,0.2,1000,5000,0.8,0.5,10.0,4.2,1.9,9880.0,,0.515449934959718,0.5,6.0,4.116246451989502,1.9,9880.0,0.0,1413.2902423409928,9880.0,1997389.309096262,97614400.0,7057.329144552359,berat
19,Cisangkan Hulu,E 107´32.181´ S 06´52.223´,2019-07-10,31.0,2.17,24.0,90.0,0.4,6488000,24196000.0,50,4,3,25,0.2,1000,5000,0.62,0.4025,8.0,3.6,2.0,6488.0,,-0.03804155250873076,0.4025,5.515449934959718,3.7815125038364363,2.0,6488.0,0.0,928.5230601266124,6488.0,862155.0731868887,42094144.0,4634.452452727663,berat
20,Cisangkan Tengah,E 108´31.818´ S 06´52.867´,2019-07-10,84.0,1.0,34.0,150.0,0.79,13140000,23590000.0,50,4,3,25,0.2,1000,5000,1.68,0.5,11.333333333333334,6.0,3.95,13140.0,,2.126546408629314,0.5,6.271788311612964,4.890756251918218,3.95,13140.0,0.0,1879.6770129960228,13140.0,3533185.6731856503,172659600.0,9385.967868930344,berat
21,Cisangkan Hilir,"E 107° 32' 006""  S 6° 55' 092"" ",2019-07-08,29.0,1.0,21.0,85.0,1.05,15000000,17329000.0,50,4,3,25,0.2,1000,5000,0.58,0.5,7.0,3.4,5.25,15000.0,,-0.18286003218531377,0.5,5.225490200071284,3.657394585211276,5.25,15000.0,0.0,2144.9214321075856,15000.0,4600687.949914456,225000000.0,10714.492240650381,berat
22,Cibabat Hulu,E 107´33.694´ S 06´53.373´,2019-07-12,48.0,3.7,15.0,77.0,0.16,528000,1168000.0,50,4,3,25,0.2,1000,5000,0.96,0.27499999999999997,5.0,3.08,0.7999999999999999,528.0,,0.911356165197842,0.27499999999999997,4.494850021680094,3.4427535825022213,0.7999999999999999,528.0,0.0,76.84627996705431,528.0,5905.350744774893,278784.0,377.2859331758705,berat
23,Cibabat Tengah,E 107´32.892´ S 06´54.016´,2019-07-12,346.0,1.16,83.0,112.0,0.26,7890000,20980000.0,50,4,3,25,0.2,1000,5000,6.92,0.48666666666666664,27.666666666666668,4.48,1.3,7890.0,,5.200530472283789,0.48666666666666664,8.209784188282057,4.2563900699907204,1.3,7890.0,0.0,1129.9219101996034,7890.0,1276723.5231491206,62252100.0,5635.992526749354,berat
24,Cibabat Hilir,"E 107° 33' 008""  S 06° 55' 502"" ",2019-07-16,74.0,1.22,78.0,138.0,0.16,15531000,77010000.0,50,4,3,25,0.2,1000,5000,1.48,0.4816666666666667,26.0,5.52,0.7999999999999999,15531.0,,1.851308576974787,0.4816666666666667,8.074866739854091,4.7096953886459945,0.7999999999999999,15531.0,0.0,2220.9882196245917,15531.0,4932788.671711214,241211961.0,11093.798936155983,berat
