No.,Nama Sungai,Lokasi/ Koordinat,Periode/ Tanggal,TSS,DO,BOD,COD,Fosfat,Fecal Coli,Total-Coliform,TSS.1,DO.1,BOD.1,COD.1,Fosfat.1,Fecal Coli.1,Total-Coliform.1,TSS.2,DO.2,BOD.2,COD.2,Fosfat.2,Fecal Coli.2,Total-Coliform.2,TSS.3,DO.3,BOD.3,COD.3,Fosfat.3,Fecal Coli.3,Total-Coliform.3,(Ci/Lij)R,(Ci/Lij)M,(Ci/Lij)R2,(Ci/Lij)M2,Pij,Status Mutu Air
61,Cimahi Hulu,,2013-11-11,108.0,6.87,0.0,0.0,,1100,,50,4,3,25,0.2,1000,5000,2.16,0.010833333333333325,0.0,0.0,0.0,1.1,0.0,2.6722687557546543,0.010833333333333325,0.0,0.0,0.0,1.2069634257911255,0.0,0.5557236449827304,2.6722687557546543,0.3088287695928918,7.141020302982528,1.9300063565407524,ringan
62,cimahi tengah,,2013-11-06,187.0,3.91,11.1,38.0,,1100,,50,4,3,25,0.2,1000,5000,3.74,0.2575,3.6999999999999997,1.52,0.0,1.1,0.0,3.864358011002401,0.2575,3.841008620334975,1.9092179397238627,0.0,1.2069634257911255,0.0,1.5827211424074805,3.864358011002401,2.50500621462364,14.933262837198432,2.9528180651559004,ringan
63,Cimahi hilir,,2013-11-12,1540.0,,47.6,267.0,,1100,0.0,50,4,3,25,0.2,1000,5000,30.8,0.5833333333333334,15.866666666666667,10.68,0.0,1.1,0.0,8.442753582502222,0.5833333333333334,7.002428490004154,6.142856263462688,0.0,1.2069634257911255,0.0,3.3397621564419318,8.442753582502222,11.154011261601662,71.2800880548541,6.420050596235818,sedang
64,Cibabat Hulu,,2013-11-12,284.0,0.842,35.5,94.3,,1100,,50,4,3,25,0.2,1000,5000,5.68,0.5131666666666667,11.833333333333334,3.772,0.0,1.1,0.0,4.771741678555094,0.5131666666666667,6.365535491677158,3.8828584203264533,0.0,1.2069634257911255,0.0,2.3914665261452144,6.365535491677158,5.719112145673059,40.52004209580156,4.808282138221228,ringan
65,Cibabat Tengah,,2013-11-12,924.0,1.74,271.0,602.0,,150,,50,4,3,25,0.2,1000,5000,18.48,0.4383333333333333,90.33333333333333,24.08,0.0,0.15,0.0,7.33350983442044,0.4383333333333333,10.779240180773716,7.908282412928934,0.0,0.15,0.0,3.801337965922346,10.779240180773716,14.450170331162639,116.19201887480656,8.08214665809676,sedang
66,Cibabat Hilir,,2013-11-12,2040.0,,62.1,283.0,,210,,50,4,3,25,0.2,1000,5000,40.8,0.5833333333333334,20.7,11.32,0.0,0.21,0.0,9.0533008154494,0.5833333333333334,7.57985172728459,6.269232134261264,0.0,0.21,0.0,3.3851025729040845,9.0533008154494,11.458919429081853,81.96225565501678,6.834514433524104,sedang
67,Cibeureum Hulu,,2013-11-12,130.0,4.51,20.7,114.0,,150,,50,4,3,25,0.2,1000,5000,2.6,0.20750000000000002,6.8999999999999995,4.56,0.0,0.15,0.0,3.07486673985409,0.20750000000000002,5.1942454536862765,4.294824213322175,0.0,0.15,0.0,1.845919486694649,5.1942454536862765,3.407418751359036,26.980185833140553,3.8979228176363105,ringan
68,Cibeureum Tengah,,2013-11-11,227.0,1.96,17.9,128.0,,1100,,50,4,3,25,0.2,1000,5000,4.54,0.42,5.966666666666666,5.12,0.0,1.1,0.0,4.285279264285519,0.42,4.8786588813011535,4.546349804879154,0.0,1.2069634257911255,0.0,2.19103591089385,4.8786588813011535,4.800638362826443,23.801312480098623,3.7816630496995014,ringan
69,Cibeureum Hilir,,2013-11-12,118.0,3.53,35.2,131.0,,28,,50,4,3,25,0.2,1000,5000,2.36,0.2891666666666667,11.733333333333334,5.24,0.0,0.028,0.0,2.864560014850533,0.2891666666666667,6.347107043792343,4.596656434918633,0.0,0.028,0.0,2.0179271657468822,6.347107043792343,4.072030046259245,40.28576782535838,4.709447837677875,ringan
70,Cisangkan Hulu,,2013-11-06,289.0,0.23,22.8,112.0,,28,,50,4,3,25,0.2,1000,5000,5.78,0.5641666666666666,7.6000000000000005,4.48,0.0,0.028,0.0,4.809639192102646,0.5641666666666666,5.404067961403957,4.2563900699907204,0.0,0.028,0.0,2.1517519843091413,5.404067961403957,4.630036601978327,29.203950531472717,4.11302729953565,ringan
71,Cisangkan Tengah,,2013-11-06,345.0,0.23,68.4,147.0,,120,,50,4,3,25,0.2,1000,5000,6.9,0.5641666666666666,22.8,5.88,0.0,0.12,0.0,5.1942454536862765,0.5641666666666666,7.789674235002269,4.846886630380693,0.0,0.12,0.0,2.644996140819415,7.789674235002269,6.996004584949599,60.67902468745818,5.817002203558452,sedang
72,Cisangkan Hilir,,2013-11-12,915.0,0.0,135.0,552.0,,120,,50,4,3,25,0.2,1000,5000,18.3,0.5833333333333334,45.0,22.08,0.0,0.12,0.0,7.312255448652148,0.5833333333333334,9.266062568876718,7.719995345285806,0.0,0.12,0.0,3.5716638137354297,9.266062568876718,12.756782398347115,85.8599155303382,7.021990384808474,sedang
73,Cibaligo Hulu,,2013-11-11,289.0,0.795,27.0,73.0,,1100,,50,4,3,25,0.2,1000,5000,5.78,0.5170833333333333,9.0,2.92,0.0,1.1,0.0,4.809639192102646,0.5170833333333333,5.771212547196624,3.3269142572420916,0.0,1.2069634257911255,0.0,2.23311610795226,5.771212547196624,4.98680755159585,33.30689426491975,4.375711474521349,ringan
74,Cibaligo Tengah,,2013-11-11,1480.0,0.0,266.0,493.0,,150,,50,4,3,25,0.2,1000,5000,29.6,0.5833333333333334,88.66666666666667,19.72,0.0,0.15,0.0,8.356458555294694,0.5833333333333334,88.66666666666667,7.474534553025962,0.0,0.15,0.0,15.03299901547438,88.66666666666667,225.99105939925366,7861.777777777778,63.59154360910353,berat
75,Cibaligo hilir,,2013-11-11,648.0,0.0,88.1,373.0,,1100,,50,4,3,25,0.2,1000,5000,12.96,0.5833333333333334,29.366666666666664,14.92,0.0,1.1,0.0,6.563025007672873,0.5833333333333334,8.339273268461927,6.868844115683251,0.0,1.2069634257911255,0.0,3.3659198787060727,8.339273268461927,11.329416629868703,69.54347864608367,6.358965925209553,sedang
76,Cimahi Hulu,,2014-05-06,61.0,7.31,2.49,29.9,,120,,50,4,3,25,0.2,1000,5000,1.22,-0.025833333333333302,0.8300000000000001,1.196,0.0,0.12,0.0,1.431799153373741,2.30928692814949,0.5953904618803697,1.3886558982619601,0.0,0.12,0.0,0.8350189202379372,2.30928692814949,0.6972565971553306,5.332806116522107,1.7363845647893554,ringan
77,cimahi tengah,,2014-05-05,79.0,6.55,5.44,34.8,,1100,,50,4,3,25,0.2,1000,5000,1.58,0.03750000000000001,1.8133333333333335,1.392,0.0,1.1,0.0,1.9932854347721132,0.03750000000000001,2.2923882248925875,1.7181961763727163,0.0,1.1,0.0,1.020195690862488,2.2923882248925875,1.0407992476543892,5.255043773626189,1.7742382902643852,ringan
78,Cimahi hilir,,2014-06-02,278.0,5.18,4.93,33.1,,64,,50,4,3,25,0.2,1000,5000,5.56,0.1516666666666667,1.6433333333333333,1.324,0.0,0.064,0.0,4.725373957910287,0.1516666666666667,2.078628322787838,1.6094399255184058,0.0,0.064,0.0,1.232729838983314,4.725373957910287,1.519622855919827,22.329159042096734,3.453171143891985,ringan
79,Cibabat Hulu,,2014-05-07,298.0,0.763,33.5,116.0,,1100,,50,4,3,25,0.2,1000,5000,5.96,0.51975,11.166666666666666,4.64,0.0,1.1,0.0,4.876231298701182,0.51975,6.239617761585914,4.332589902774404,0.0,1.1,0.0,2.438312709008786,6.239617761585914,5.945368866913766,38.932829810698415,4.736992647113365,ringan
80,Cibabat Tengah,,2014-05-08,884.0,4.01,92.6,234.0,,120,,50,4,3,25,0.2,1000,5000,17.68,0.24916666666666668,30.866666666666664,9.36,0.0,0.12,0.0,7.237411303385272,0.24916666666666668,8.447448659811359,5.856379243690526,0.0,0.12,0.0,3.1300579819362606,8.447448659811359,9.797262970282896,71.35938886014873,6.37011192328799,sedang
81,Cibabat Hilir,,2014-06-02,942.0,0.0,129.0,280.0,,460,,50,4,3,25,0.2,1000,5000,18.84,0.5833333333333334,43.0,11.2,0.0,0.46,0.0,7.375404492284292,0.5833333333333334,9.167342277897932,6.246090113350908,0.0,0.46,0.0,3.4045957452666378,9.167342277897932,11.591272188687693,84.04016444013484,6.914891055859902,sedang
82,Cibeureum Hulu,,2014-05-21,321.0,3.56,8.68,112.0,,14,,50,4,3,25,0.2,1000,5000,6.42,0.2866666666666667,2.893333333333333,4.48,0.0,0.014,0.0,5.037675140344266,0.2866666666666667,3.306992352284147,4.2563900699907204,0.0,0.014,0.0,1.8431034613265427,5.037675140344266,3.3970303691538826,25.378170819642623,3.7930990752151796,ringan
83,Cibeureum Tengah,,2014-05-09,329.0,4.39,18.9,118.0,,18,,50,4,3,25,0.2,1000,5000,6.58,0.21750000000000003,6.3,4.72,0.0,0.018,0.0,5.091129468069777,0.21750000000000003,4.996702747267909,4.369709993170439,0.0,0.018,0.0,2.099006029786875,5.091129468069777,4.4058263130816595,25.919599260648454,3.8939328174565437,ringan
84,Cibeureum Hilir,,2014-06-02,562.0,1.34,23.6,91.9,,20,,50,4,3,25,0.2,1000,5000,11.24,0.4716666666666667,7.866666666666667,3.676,0.0,0.02,0.0,6.253831556165212,0.4716666666666667,5.478953741252221,3.826877513570368,0.0,0.02,0.0,2.293047068236352,6.253831556165212,5.25806485714733,39.11040913288779,4.710014542973043,ringan
85,Cisangkan Hulu,,2014-05-06,134.0,2.86,11.6,80.4,,28,,50,4,3,25,0.2,1000,5000,2.68,0.34500000000000003,3.8666666666666667,3.216,0.0,0.028,0.0,3.1406739701439443,0.34500000000000003,3.9366836725362804,3.5365802003820686,0.0,0.028,0.0,1.5695625490088994,3.9366836725362804,2.4635265952513135,15.497478337613735,2.996748649191741,ringan
86,Cisangkan Tengah,,2014-05-05,260.0,0.858,88.5,196.0,,120,,50,4,3,25,0.2,1000,5000,5.2,0.5118333333333334,29.5,7.84,0.0,0.12,0.0,4.580016718173996,0.5118333333333334,8.349110079890815,5.4715803134221925,0.0,0.12,0.0,2.7189343492600484,8.349110079890815,7.392603995586163,69.70763912613441,6.208874419801087,sedang
87,Cisangkan Hilir,,2014-06-02,542.0,0.0,47.1,190.0,,43,,50,4,3,25,0.2,1000,5000,10.84,0.5833333333333334,15.700000000000001,7.6,0.0,0.043,0.0,6.17514641101184,0.5833333333333334,6.979498262046169,5.404067961403957,0.0,0.043,0.0,2.7407208525421853,6.979498262046169,7.511550791559563,48.71339598990549,5.302119707318247,sedang
88,Cibaligo Hulu,,2014-05-07,327.0,0.0,44.8,340.0,,1100,,50,4,3,25,0.2,1000,5000,6.54,0.5833333333333334,14.933333333333332,13.6,0.0,1.1,0.0,5.0778887416213365,0.5833333333333334,6.870783796392408,6.667694541851088,0.0,1.1,0.0,2.8999572018854525,6.870783796392408,8.409751772767303,47.20766997676848,5.273396521670629,sedang
89,Cibaligo Tengah,,2014-05-08,596.0,2.22,1.87,395.0,,20,,50,4,3,25,0.2,1000,5000,11.92,0.39833333333333326,0.6233333333333334,15.8,0.0,0.02,0.0,6.381381277021088,0.39833333333333326,0.6233333333333334,6.993285434772114,0.0,0.02,0.0,2.059476196922838,6.993285434772114,4.241442205691757,48.90604117219579,5.154972520677853,sedang
90,Cibaligo hilir,,2014-06-02,1510.0,1.08,93.6,290.0,,210,,50,4,3,25,0.2,1000,5000,30.2,0.49333333333333335,31.2,11.6,0.0,0.21,0.0,8.400034714785752,0.49333333333333335,8.470772970092215,6.322289946134592,0.0,0.21,0.0,3.413775852049413,8.470772970092215,11.653865568035696,71.75399471084488,6.4578580148095766,sedang
91,Cimahi Hulu,,2015-10-12,105.0,7.82,2.0,18.4,,18,75.0,50,4,3,25,0.2,1000,5000,2.1,-0.06833333333333336,0.6666666666666666,0.736,0.0,0.018,0.015,2.6110964736695967,2.4557338086594283,0.6666666666666666,0.736,0.0,0.018,0.015,0.9289281355708131,2.6110964736695967,0.862907481055067,6.817824794809803,1.9596852139903578,ringan
92,cimahi tengah,,2015-10-12,181.0,2.16,5.73,35.6,,28,150.0,50,4,3,25,0.2,1000,5000,3.62,0.4033333333333333,1.9100000000000001,1.4240000000000002,0.0,0.028,0.03,3.7935428526658286,0.4033333333333333,2.405166836238638,1.7675499465041882,0.0,0.028,0.03,1.203941852677427,3.7935428526658286,1.4494759846283554,14.390967375011993,2.8142888408655167,ringan
93,Cimahi hilir,,2015-10-19,1776.0,0.0,106.0,762.0,,150,1100.0,50,4,3,25,0.2,1000,5000,35.52,0.5833333333333334,35.333333333333336,30.48,0.0,0.15,0.22,8.752364785532817,0.5833333333333334,8.740923052725538,8.420074813337814,0.0,0.15,0.22,3.8380994264184998,8.752364785532817,14.731007207074017,76.60388933903492,6.7577694746901855,sedang
94,Cibabat Hulu,,2015-10-12,492.0,0.0,76.8,202.0,,93,150.0,50,4,3,25,0.2,1000,5000,9.84,0.5833333333333334,25.599999999999998,8.08,0.0,0.093,0.03,5.964975492156707,0.5833333333333334,8.041199826559248,5.537056803872931,0.0,0.093,0.03,2.892795065131746,8.041199826559248,8.368263288850581,64.66089465065649,6.042729430460505,sedang
95,Cibabat Tengah,,2015-10-08,2350.0,1.18,118.0,410.0,,43,460.0,50,4,3,25,0.2,1000,5000,47.0,0.48500000000000004,39.333333333333336,16.4,0.0,0.043,0.092,9.360489289678588,0.48500000000000004,8.973803762932315,7.074219240238489,0.0,0.043,0.092,3.718358898978484,9.360489289678588,13.826192901612483,87.61875974218756,7.121971378902054,sedang
96,Cibabat Hilir,,2015-10-19,1680.0,0.0,282.0,763.0,,20,210.0,50,4,3,25,0.2,1000,5000,33.6,0.5833333333333334,94.0,30.52,0.0,0.02,0.042,8.631696386949221,0.5833333333333334,10.865639267998493,8.422922646414214,0.0,0.02,0.042,4.0807988049564665,10.865639267998493,16.652918886534124,118.06211670227081,8.207162590956905,sedang
97,Cibeureum Hulu,,2015-10-08,386.0,2.98,23.1,118.0,,150,210.0,50,4,3,25,0.2,1000,5000,7.72,0.33499999999999996,7.7,4.72,0.0,0.15,0.042,5.438086501678681,0.33499999999999996,5.43245362586241,4.369709993170439,0.0,0.15,0.042,2.25246430295879,5.438086501678681,5.073595436103627,29.572784799739875,4.162113659899469,ringan
98,Cibeureum Tengah,,2015-10-08,413.0,0.858,25.4,126.0,,120,1100.0,50,4,3,25,0.2,1000,5000,8.26,0.5118333333333334,8.466666666666667,5.04,0.0,0.12,0.22,5.584900236601911,0.5118333333333334,5.638562309501379,4.512152682227627,0.0,0.12,0.22,2.3696355088091785,5.638562309501379,5.6151724446093345,31.79338491812952,4.324844353427003,ringan
99,Cibeureum Hilir,,2015-10-19,620.0,0.0,62.0,270.0,,210,1100.0,50,4,3,25,0.2,1000,5000,12.4,0.5833333333333334,20.666666666666668,10.8,0.0,0.21,0.22,6.467108425811176,0.5833333333333334,7.576352173892958,6.167118777434748,0.0,0.21,0.22,3.031987530067459,7.576352173892958,9.19294838248457,57.40111226285255,5.770357902476116,sedang
100,Cisangkan Hulu,,2015-10-12,385.0,0.0,72.3,187.0,,210,1100.0,50,4,3,25,0.2,1000,5000,7.7,0.5833333333333334,24.099999999999998,7.48,0.0,0.21,0.22,5.43245362586241,0.5833333333333334,7.910085212874342,5.369507989322307,0.0,0.21,0.22,2.8179114516274844,7.910085212874342,7.9406249492133165,62.56944807493332,5.937595179201199,sedang
101,Cisangkan Tengah,,2015-10-12,451.0,0.0,71.9,246.0,,43,1100.0,50,4,3,25,0.2,1000,5000,9.02,0.5833333333333334,23.96666666666667,9.84,0.0,0.043,0.22,5.776032687709709,0.5833333333333334,7.898038178316101,5.964975492156707,0.0,0.043,0.22,2.926482813073693,7.898038178316101,8.564301655215715,62.37900706613872,5.9558084556739415,sedang
102,Cisangkan Hilir,,2015-10-19,2550.0,0.0,39.4,315.0,,28,120.0,50,4,3,25,0.2,1000,5000,51.0,0.5833333333333334,13.133333333333333,12.6,0.0,0.028,0.024,9.537850880489682,0.5833333333333334,6.591874835529559,6.501852725587815,0.0,0.028,0.024,3.3238445392771987,9.537850880489682,11.047942521282854,90.9705994184578,7.142077496770132,sedang
103,Cibaligo Hulu,,2015-10-08,414.0,0.0,52.7,176.0,,460,1100.0,50,4,3,25,0.2,1000,5000,8.28,0.5833333333333334,17.566666666666666,7.04,0.0,0.46,0.22,5.5901516839244,0.5833333333333334,7.223446802464421,5.237863295710561,0.0,0.46,0.22,2.7592564450618164,7.223446802464421,7.613496129615173,52.17818370803347,5.467708836324802,sedang
104,Cibaligo Tengah,,2015-10-08,1010.0,0.0,315.0,778.0,,75,150.0,50,4,3,25,0.2,1000,5000,20.2,0.5833333333333334,105.0,31.12,0.0,0.075,0.03,7.526756847233118,0.5833333333333334,11.105946495349691,8.465197941588256,0.0,0.075,0.03,3.9694620882149145,11.105946495349691,15.75662926977551,123.3420475575701,8.33962459668736,sedang
105,Cibaligo hilir,,2015-10-19,1752.0,0.0,63.8,627.0,,18,43.0,50,4,3,25,0.2,1000,5000,35.04,0.5833333333333334,21.266666666666666,25.08,0.0,0.018,0.0086,8.722820487480215,0.5833333333333334,7.638497120007499,7.996637660793395,0.0,0.018,0.0086,3.566841228802064,8.722820487480215,12.722356351482219,76.08759725680457,6.663705936199721,sedang
106,Cimahi Hulu,,2014-05-06,61.0,7.31,2.49,29.9,,120,,50,4,3,25,0.2,1000,5000,1.22,-0.025833333333333302,0.8300000000000001,1.196,0.0,0.12,0.0,1.431799153373741,2.30928692814949,0.5953904618803697,1.3886558982619601,0.0,0.12,0.0,0.8350189202379372,2.30928692814949,0.6972565971553306,5.332806116522107,1.7363845647893554,ringan
107,cimahi tengah,,2014-05-05,79.0,6.55,5.44,34.8,,1100,,50,4,3,25,0.2,1000,5000,1.58,0.03750000000000001,1.8133333333333335,1.392,0.0,1.1,0.0,1.9932854347721132,0.03750000000000001,2.2923882248925875,1.7181961763727163,0.0,1.1,0.0,1.020195690862488,2.2923882248925875,1.0407992476543892,5.255043773626189,1.7742382902643852,ringan
108,Cimahi hilir,,2014-06-02,278.0,5.18,4.93,33.1,,64,,50,4,3,25,0.2,1000,5000,5.56,0.1516666666666667,1.6433333333333333,1.324,0.0,0.064,0.0,4.725373957910287,0.1516666666666667,2.078628322787838,1.6094399255184058,0.0,0.064,0.0,1.232729838983314,4.725373957910287,1.519622855919827,22.329159042096734,3.453171143891985,ringan
109,Cibabat Hulu,,2014-05-07,298.0,0.763,33.5,116.0,,1100,,50,4,3,25,0.2,1000,5000,5.96,0.51975,11.166666666666666,4.64,0.0,1.1,0.0,4.876231298701182,0.51975,6.239617761585914,4.332589902774404,0.0,1.1,0.0,2.438312709008786,6.239617761585914,5.945368866913766,38.932829810698415,4.736992647113365,ringan
110,Cibabat Tengah,,2014-05-08,884.0,4.01,92.6,234.0,,120,,50,4,3,25,0.2,1000,5000,17.68,0.24916666666666668,30.866666666666664,9.36,0.0,0.12,0.0,7.237411303385272,0.24916666666666668,8.447448659811359,5.856379243690526,0.0,0.12,0.0,3.1300579819362606,8.447448659811359,9.797262970282896,71.35938886014873,6.37011192328799,sedang
111,Cibabat Hilir,,2014-06-02,942.0,0.0,129.0,280.0,,460,,50,4,3,25,0.2,1000,5000,18.84,0.5833333333333334,43.0,11.2,0.0,0.46,0.0,7.375404492284292,0.5833333333333334,9.167342277897932,6.246090113350908,0.0,0.46,0.0,3.4045957452666378,9.167342277897932,11.591272188687693,84.04016444013484,6.914891055859902,sedang
112,Cibeureum Hulu,,2014-05-21,321.0,3.56,8.68,112.0,,14,,50,4,3,25,0.2,1000,5000,6.42,0.2866666666666667,2.893333333333333,4.48,0.0,0.014,0.0,5.037675140344266,0.2866666666666667,3.306992352284147,4.2563900699907204,0.0,0.014,0.0,1.8431034613265427,5.037675140344266,3.3970303691538826,25.378170819642623,3.7930990752151796,ringan
113,Cibeureum Tengah,,2014-05-09,329.0,4.39,18.9,118.0,,18,,50,4,3,25,0.2,1000,5000,6.58,0.21750000000000003,6.3,4.72,0.0,0.018,0.0,5.091129468069777,0.21750000000000003,4.996702747267909,4.369709993170439,0.0,0.018,0.0,2.099006029786875,5.091129468069777,4.4058263130816595,25.919599260648454,3.8939328174565437,ringan
114,Cibeureum Hilir,,2014-06-02,562.0,1.34,23.6,91.9,,20,,50,4,3,25,0.2,1000,5000,11.24,0.4716666666666667,7.866666666666667,3.676,0.0,0.02,0.0,6.253831556165212,0.4716666666666667,5.478953741252221,3.826877513570368,0.0,0.02,0.0,2.293047068236352,6.253831556165212,5.25806485714733,39.11040913288779,4.710014542973043,ringan
115,Cisangkan Hulu,,2014-05-06,134.0,2.86,11.6,80.4,,28,,50,4,3,25,0.2,1000,5000,2.68,0.34500000000000003,3.8666666666666667,3.216,0.0,0.028,0.0,3.1406739701439443,0.34500000000000003,3.9366836725362804,3.5365802003820686,0.0,0.028,0.0,1.5695625490088994,3.9366836725362804,2.4635265952513135,15.497478337613735,2.996748649191741,ringan
116,Cisangkan Tengah,,2014-05-05,260.0,0.858,88.5,196.0,,120,,50,4,3,25,0.2,1000,5000,5.2,0.5118333333333334,29.5,7.84,0.0,0.12,0.0,4.580016718173996,0.5118333333333334,8.349110079890815,5.4715803134221925,0.0,0.12,0.0,2.7189343492600484,8.349110079890815,7.392603995586163,69.70763912613441,6.208874419801087,sedang
117,Cisangkan Hilir,,2014-06-02,542.0,0.0,47.1,190.0,,43,,50,4,3,25,0.2,1000,5000,10.84,0.5833333333333334,15.700000000000001,7.6,0.0,0.043,0.0,6.17514641101184,0.5833333333333334,6.979498262046169,5.404067961403957,0.0,0.043,0.0,2.7407208525421853,6.979498262046169,7.511550791559563,48.71339598990549,5.302119707318247,sedang
118,Cibaligo Hulu,,2014-05-07,327.0,0.0,44.8,340.0,,1100,,50,4,3,25,0.2,1000,5000,6.54,0.5833333333333334,14.933333333333332,13.6,0.0,1.1,0.0,5.0778887416213365,0.5833333333333334,6.870783796392408,6.667694541851088,0.0,1.1,0.0,2.8999572018854525,6.870783796392408,8.409751772767303,47.20766997676848,5.273396521670629,sedang
119,Cibaligo Tengah,,2014-05-08,596.0,2.22,1.87,395.0,,20,,50,4,3,25,0.2,1000,5000,11.92,0.39833333333333326,0.6233333333333334,15.8,0.0,0.02,0.0,6.381381277021088,0.39833333333333326,0.6233333333333334,6.993285434772114,0.0,0.02,0.0,2.059476196922838,6.993285434772114,4.241442205691757,48.90604117219579,5.154972520677853,sedang
120,Cibaligo hilir,,2014-06-02,1510.0,1.08,93.6,290.0,,210,,50,4,3,25,0.2,1000,5000,30.2,0.49333333333333335,31.2,11.6,0.0,0.21,0.0,8.400034714785752,0.49333333333333335,8.470772970092215,6.322289946134592,0.0,0.21,0.0,3.413775852049413,8.470772970092215,11.653865568035696,71.75399471084488,6.4578580148095766,sedang
121,Cimahi Hulu,,2015-10-12,105.0,7.82,2.0,18.4,,18,75.0,50,4,3,25,0.2,1000,5000,2.1,-0.06833333333333336,0.6666666666666666,0.736,0.0,0.018,0.015,2.6110964736695967,2.4557338086594283,0.6666666666666666,0.736,0.0,0.018,0.015,0.9289281355708131,2.6110964736695967,0.862907481055067,6.817824794809803,1.9596852139903578,ringan
122,cimahi tengah,,2015-10-12,181.0,2.16,5.73,35.6,,28,150.0,50,4,3,25,0.2,1000,5000,3.62,0.4033333333333333,1.9100000000000001,1.4240000000000002,0.0,0.028,0.03,3.7935428526658286,0.4033333333333333,2.405166836238638,1.7675499465041882,0.0,0.028,0.03,1.203941852677427,3.7935428526658286,1.4494759846283554,14.390967375011993,2.8142888408655167,ringan
123,Cimahi hilir,,2015-10-19,1776.0,0.0,106.0,762.0,,150,1100.0,50,4,3,25,0.2,1000,5000,35.52,0.5833333333333334,35.333333333333336,30.48,0.0,0.15,0.22,8.752364785532817,0.5833333333333334,8.740923052725538,8.420074813337814,0.0,0.15,0.22,3.8380994264184998,8.752364785532817,14.731007207074017,76.60388933903492,6.7577694746901855,sedang
124,Cibabat Hulu,,2015-10-12,492.0,0.0,76.8,202.0,,93,150.0,50,4,3,25,0.2,1000,5000,9.84,0.5833333333333334,25.599999999999998,8.08,0.0,0.093,0.03,5.964975492156707,0.5833333333333334,8.041199826559248,5.537056803872931,0.0,0.093,0.03,2.892795065131746,8.041199826559248,8.368263288850581,64.66089465065649,6.042729430460505,sedang
125,Cibabat Tengah,,2015-10-08,2350.0,1.18,118.0,410.0,,43,460.0,50,4,3,25,0.2,1000,5000,47.0,0.48500000000000004,39.333333333333336,16.4,0.0,0.043,0.092,9.360489289678588,0.48500000000000004,8.973803762932315,7.074219240238489,0.0,0.043,0.092,3.718358898978484,9.360489289678588,13.826192901612483,87.61875974218756,7.121971378902054,sedang
126,Cibabat Hilir,,2015-10-19,1680.0,0.0,282.0,763.0,,20,210.0,50,4,3,25,0.2,1000,5000,33.6,0.5833333333333334,94.0,30.52,0.0,0.02,0.042,8.631696386949221,0.5833333333333334,10.865639267998493,8.422922646414214,0.0,0.02,0.042,4.0807988049564665,10.865639267998493,16.652918886534124,118.06211670227081,8.207162590956905,sedang
127,Cibeureum Hulu,,2015-10-08,386.0,2.98,23.1,118.0,,150,210.0,50,4,3,25,0.2,1000,5000,7.72,0.33499999999999996,7.7,4.72,0.0,0.15,0.042,5.438086501678681,0.33499999999999996,5.43245362586241,4.369709993170439,0.0,0.15,0.042,2.25246430295879,5.438086501678681,5.073595436103627,29.572784799739875,4.162113659899469,ringan
128,Cibeureum Tengah,,2015-10-08,413.0,0.858,25.4,126.0,,120,1100.0,50,4,3,25,0.2,1000,5000,8.26,0.5118333333333334,8.466666666666667,5.04,0.0,0.12,0.22,5.584900236601911,0.5118333333333334,5.638562309501379,4.512152682227627,0.0,0.12,0.22,2.3696355088091785,5.638562309501379,5.6151724446093345,31.79338491812952,4.324844353427003,ringan
129,Cibeureum Hilir,,2015-10-19,620.0,0.0,62.0,270.0,,210,1100.0,50,4,3,25,0.2,1000,5000,12.4,0.5833333333333334,20.666666666666668,10.8,0.0,0.21,0.22,6.467108425811176,0.5833333333333334,7.576352173892958,6.167118777434748,0.0,0.21,0.22,3.031987530067459,7.576352173892958,9.19294838248457,57.40111226285255,5.770357902476116,sedang
130,Cisangkan Hulu,,2015-10-12,385.0,0.0,72.3,187.0,,210,1100.0,50,4,3,25,0.2,1000,5000,7.7,0.5833333333333334,24.099999999999998,7.48,0.0,0.21,0.22,5.43245362586241,0.5833333333333334,7.910085212874342,5.369507989322307,0.0,0.21,0.22,2.8179114516274844,7.910085212874342,7.9406249492133165,62.56944807493332,5.937595179201199,sedang
131,Cisangkan Tengah,,2015-10-12,451.0,0.0,71.9,246.0,,43,1100.0,50,4,3,25,0.2,1000,5000,9.02,0.5833333333333334,23.96666666666667,9.84,0.0,0.043,0.22,5.776032687709709,0.5833333333333334,7.898038178316101,5.964975492156707,0.0,0.043,0.22,2.926482813073693,7.898038178316101,8.564301655215715,62.37900706613872,5.9558084556739415,sedang
132,Cisangkan Hilir,,2015-10-19,2550.0,0.0,39.4,315.0,,28,120.0,50,4,3,25,0.2,1000,5000,51.0,0.5833333333333334,13.133333333333333,12.6,0.0,0.028,0.024,9.537850880489682,0.5833333333333334,6.591874835529559,6.501852725587815,0.0,0.028,0.024,3.3238445392771987,9.537850880489682,11.047942521282854,90.9705994184578,7.142077496770132,sedang
133,Cibaligo Hulu,,2015-10-08,414.0,0.0,52.7,176.0,,460,1100.0,50,4,3,25,0.2,1000,5000,8.28,0.5833333333333334,17.566666666666666,7.04,0.0,0.46,0.22,5.5901516839244,0.5833333333333334,7.223446802464421,5.237863295710561,0.0,0.46,0.22,2.7592564450618164,7.223446802464421,7.613496129615173,52.17818370803347,5.467708836324802,sedang
